Disease	Disease1	ICD-11_Code	Category
Unintentional exposure to ignition, or melting of material / Nightclothes, pyjamas, nightwear, underwear, undergarment, lingerie	Unintentional exposure to ignition, or melting of material / Nightclothes, pyjamas, nightwear, underwear, undergarment, lingerie	PB12&XE4AP	0
Unintentional contact with hot object or liquid	Unintentional contact with hot object or liquid	PB13	0
Unintentional contact with hot object or liquid / Hot tap water	Unintentional contact with hot object or liquid / Hot tap water	PB13&XE396	0
Unintentional contact with hot object or liquid / Hot liquid	Unintentional contact with hot object or liquid / Hot liquid	PB13&XE4VA	0
Unintentional exposure to steam, hot vapour, air or gases	Unintentional exposure to steam, hot vapour, air or gases	PB14	0
Unintentional exposure to steam, hot vapour, air or gases / Hot air or gas	Unintentional exposure to steam, hot vapour, air or gases / Hot air or gas	PB14&XE3BS	0
Unintentionally stung or envenomated by animal	Unintentionally stung or envenomated by animal	PA78	0
Unintentionally stung or envenomated by animal / Reptile or amphibian	Unintentionally stung or envenomated by animal / Reptile or amphibian	PA78&XE1PT	0
Exposure to unspecified forces of nature	Exposure to unspecified forces of nature	PJ0Z	0
Unintentional exposure to sunlight	Unintentional exposure to sunlight	PB52	0
Victim of lightning	Victim of lightning	PJ00	0
Victim of earthquake	Victim of earthquake	PJ01	0
Victim of cataclysmic earth movements caused by earthquake	Victim of cataclysmic earth movements caused by earthquake	PJ02	0
Victim of tsunami	Victim of tsunami	PJ03	0
Victim of volcanic eruption	Victim of volcanic eruption	PJ04	0
Victim of avalanche, landslide or other earth movements	Victim of avalanche, landslide or other earth movements	PJ05	0
Victim of cataclysmic storm	Victim of cataclysmic storm	PJ06	0
Victim of flood	Victim of flood	PJ07	0
Unintentional exposure to or harmful effects of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs	Unintentional exposure to or harmful effects of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs	PB24	0
Unintentional exposure to or harmful effects of antiepileptics or antiparkinsonism drugs	Unintentional exposure to or harmful effects of antiepileptics or antiparkinsonism drugs	PB27	0
Unintentional exposure to or harmful effects of cannabinoids or hallucinogens	Unintentional exposure to or harmful effects of cannabinoids or hallucinogens	PB23	0
Unintentional exposure to or harmful effects of other or unspecified drug, medicament or biological substance	Unintentional exposure to or harmful effects of other or unspecified drug, medicament or biological substance	PB28	0
Unintentional exposure to or harmful effects of alcohols	Unintentional exposure to or harmful effects of alcohols	PB30	0
Unintentional exposure to or harmful effects of carbon monoxide	Unintentional exposure to or harmful effects of carbon monoxide	PB32	0
Unintentional exposure to or harmful effects of pesticides	Unintentional exposure to or harmful effects of pesticides	PB33	0
Unintentional exposure to or harmful effects of other or unspecified substances chiefly nonmedicinal as to source	Unintentional exposure to or harmful effects of other or unspecified substances chiefly nonmedicinal as to source	PB36	0
Unintentional exposure to physical overexertion	Unintentional exposure to physical overexertion	PB56	0
Unintentional other specified privation	Unintentional other specified privation	PB59	0
Unintentional lack of food	Unintentional lack of food	PB57	0
Unintentional lack of water	Unintentional lack of water	PB58	0
Intentional self-harm, unspecified	Intentional self-harm, unspecified	PD3Z	0
Intentional self-harm by exposure to or harmful effects of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs	Intentional self-harm by exposure to or harmful effects of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs	PC94	0
Intentional self-harm by exposure to or harmful effects of antiepileptics or antiparkinsonism drugs	Intentional self-harm by exposure to or harmful effects of antiepileptics or antiparkinsonism drugs	PC97	0
